Id,Schedule,Title,Type of Work,Company,Location,Pay,Status,State,City,Talent Type(s),Buyer Rating,Confirmed Start Time,Country,Distance,Estimated Total,Invoice ID,My Performance,Requests,Routes,Service Date,Shipments,Template,WO Rating,Zip,Schedule Note
16376972,12-19-2024 16:00 EST,Fujifilm CX3240 Printer Service - Paper Jam Troubleshooting and Part Install (if necessary),Printer,"Retail Imaging Management Group, Inc.",WG 11526,$100 ,Paid,VT,BURLINGTON,,0,12-19-2024 16:00 EST,US,2,$100 ,,,2,18,12-19-2024 16:00 EST,0,Walgreens Fuji Xerox CX3240 Printer Service - Paper Jam,0,5401,
16348536,12-19-2024 14:00 EST,Bank Monitor Refresh,Windows Device,Allied Digital Services LLC,CB - Williston,$60 ,Paid,VT,Williston,,0,12-19-2024 14:00 EST,US,5,$60 ,,,0,,12-19-2024 14:00 EST,0,Citizens Bank - Monitor Refresh,0,5495,
16352269,12-18-2024 09:00 EST,Assist HOCS Technician with Client Onboarding,Windows Device,HOCS Consulting,Burlington Health and Rehab,$400 ,Paid,VT,Burlington,,0,12-18-2024 09:00 EST,US,4,$326 ,,,1,,12-18-2024 09:00 EST,0,HOCS Break Fix / Urgent On Site Requests,0,5401,
16352265,12-16-2024 10:00 EST,Assist HOCS Technician with Client Onboarding,Windows Device,HOCS Consulting,Burlington Health and Rehab,$400 ,Paid,VT,Burlington,,0,12-16-2024 10:00 EST,US,4,$361 ,,,1,,12-16-2024 10:00 EST,0,HOCS Break Fix / Urgent On Site Requests,5,5401,
16294238,12-13-2024 12:00 EST,"Tech for Point of Sale Move, Add, Change Install",Point of Sale,NCR Voyix - Restaurants,"Williston, VT, 05495",$115.50 ,Paid,VT,Williston,,0,12-13-2024 12:00 EST,US,5,$115.50 ,,,2,11,12-13-2024 12:00 EST,0,* SMB Lead Tech - Full Install,0,5495,
16294136,12-13-2024 09:00 EST,"Tech for Point of Sale Move, Add, Change Install",Point of Sale,NCR Voyix - Restaurants,"Colchester, VT, 05446",$110 ,Paid,VT,Colchester,,0,12-13-2024 09:00 EST,US,7,$91.85 ,,,2,,12-13-2024 09:00 EST,0,* SMB Lead Tech - Full Install,0,5446,
16340350,12-12-2024 15:00 EST,SF80246 - ANACAPA - USCIS DHS - HP EliteBook 640 G9 (2TK2460FX3) - Card Reader,Windows Device,Smart 3rd Party,"South Burlington, VT, 05403",$110 ,Paid,VT,South Burlington,,0,12-12-2024 15:00 EST,US,4,$110 ,,,1,,12-12-2024 15:00 EST,0,,0,5403,
16335246,12-12-2024 11:30 EST,USDKN0301732 - Kiosk Repair - CASE14044,Networking,ITsavvy - Field Services,USDKN0301732,$135 ,Paid,VT,South Burlington,,0,12-12-2024 11:30 EST,US,3,$135 ,,,1,4,12-12-2024 11:30 EST,0,Acrelec America - IMAC,5,5403,
16157511,12-11-2024 09:00 EST,(HARD START) Pin Pad Upgrade - (2),Point of Sale,"Retail Tech, Inc.","Burlington, VT, 05403",$195 ,Paid,VT,Burlington,,0,12-11-2024 09:00 EST,US,3,$140.40 ,,,1,14,12-11-2024 09:00 EST,0,WM-VeriFone Pin pad Upgrade,0,5403,
16235345,11-26-2024 09:00 EST,Bank Monitor Refresh,Windows Device,Allied Digital Services LLC,"St Albans, VT, 05478",$120 ,Paid,VT,St Albans,,0,11-26-2024 09:00 EST,US,27,$120 ,,,0,,11-26-2024 09:00 EST,0,Citizens Bank - Monitor Refresh,0,5478,
16247146,11-25-2024 09:15 EST,Bank Monitor Refresh,Windows Device,Allied Digital Services LLC,"Montpelier, VT, 05602",$120 ,Paid,VT,Montpelier,,0,11-25-2024 09:15 EST,US,33,$120 ,,,0,7,11-25-2024 09:15 EST,0,Citizens Bank - Monitor Refresh,0,5602,
16247064,11-22-2024 13:00 EST,Bank Monitor Refresh,Windows Device,Allied Digital Services LLC,CB - Williston,$120 ,Paid,VT,Williston,,0,11-22-2024 13:00 EST,US,5,$120 ,,,1,8,11-22-2024 13:00 EST,0,Citizens Bank - Monitor Refresh,0,5495,
16246993,11-22-2024 11:00 EST,Bank Monitor Refresh,Windows Device,Allied Digital Services LLC,CB - Essex Junction,$120 ,Paid,VT,Essex Junction,,0,11-22-2024 11:00 EST,US,7,$120 ,,,1,7,11-22-2024 11:00 EST,0,Citizens Bank - Monitor Refresh,0,5452,
16246960,11-21-2024 13:00 EST,Bank Monitor Refresh,Windows Device,Allied Digital Services LLC,CB - South Burlington,$120 ,Paid,VT,South Burlington,,0,11-21-2024 13:00 EST,US,1,$120 ,,,0,5,11-21-2024 13:00 EST,0,Citizens Bank - Monitor Refresh,0,5403,
16247097,11-21-2024 11:00 EST,Bank Monitor Refresh,Windows Device,Allied Digital Services LLC,CB - Burlington VT,$120 ,Paid,VT,Burlington,,0,11-21-2024 11:00 EST,US,4,$120 ,,,0,7,11-21-2024 11:00 EST,0,Citizens Bank - Monitor Refresh,0,5401,
16233756,11-19-2024 17:00 EST,Fujifilm CX3240 Printer Service - Paper Jam Troubleshooting and Part Install (if necessary),Printer,"Retail Imaging Management Group, Inc.",WG 17447,$100 ,Paid,VT,SOUTH BURLINGTON,,0,11-19-2024 17:00 EST,US,3,$100 ,,,0,1,11-19-2024 17:00 EST,0,Walgreens Fuji Xerox CX3240 Printer Service - Paper Jam,5,5403,
16139886,11-19-2024 08:45 EST,Desktop install- Tech # 3 Day 1,Windows Device,F2Onsite,"Burlington, VT, 05401",$280 ,Paid,VT,Burlington,,0,11-19-2024 08:45 EST,US,3,$35 ,,,1,,11-19-2024 08:45 EST,0,,0,5401,
16139859,11-18-2024 08:45 EST,Desktop Deinstall- Tech # 2,Windows Device,F2Onsite,"Burlington, VT, 05401",$280 ,Paid,VT,Burlington,,0,11-18-2024 08:45 EST,US,4,$52.15 ,,,1,,11-18-2024 08:45 EST,0,,5,5401,
16029309,11-14-2024 08:00 EST,*TIME DEFINITE* Store De-install - Tech 2 of 2,Point of Sale,"Retail Tech, Inc.","MONTPELIER, VT, 05602",$440 ,Paid,VT,MONTPELIER,,0,11-14-2024 08:00 EST,US,33,$423.50 ,,,0,9,11-14-2024 08:00 EST,0,WAL-Footprint Optimization - July 2023 Update - Tech 2,0,5602,
16142235,11-06-2024 15:00 EST,HP Printer Repair - Parts ETA 11/4 (tray 2 paper sensor),Printer,Teksetra,"Williston, VT, 05495",$85 ,Paid,VT,Williston,,0,11-06-2024 15:00 EST,US,5,$85 ,,,0,17,11-06-2024 15:00 EST,0,CC 4.4.22  FTG,0,5495,
16146732,11-05-2024 12:30 EST,OnSite Coverage - 5073168 (SCTASK10232234)-,Windows Device,Hemmersbach US,"Burlington, VT, 05401",$100 ,Paid,VT,Burlington,,0,11-05-2024 12:30 EST,US,3,$100 ,,,2,12,11-05-2024 12:30 EST,0,OnSite Coverage - Hands and Eyes Support,0,5401,
16093222,10-31-2024 08:45 EDT,Radiology Partners - Workstation Set Up,Windows Device,"Strategic Systems, Inc.","Albans City, VT, 05478",$270 ,Paid,VT,Albans City,,0,10-31-2024 08:45 EDT,US,27,$200 ,,,1,,10-31-2024 08:45 EDT,0,,5,5478,
16084255,10-25-2024 13:00 EDT,Scarsdale Ticket #711212 - Vista panel not communicating via network. panel should be plugged in to either port 5-6 on the meraki. reset panel. Work with Scarsdale support to test and verify signals.,General Alarm,Scarsdale Security Systems Inc,"South Burlington, VT, 05403",$125 ,Paid,VT,South Burlington,,0,10-25-2024 13:00 EDT,US,3,$125 ,,5,0,4,10-25-2024 13:00 EDT,0,Service Channel Work Orders,0,5403,
16082481,10-22-2024 14:00 EDT,Hilton - CLOUD COVER # 41200- HDD Replacement and complete imaged setup - HP ProDesk 600 G6 DM,Windows Device,CloudCover.,"HFS-Burlington, VT",$149 ,Paid,VT,Burlington,,0,10-22-2024 14:00 EDT,US,4,$149 ,,,1,,10-22-2024 14:00 EDT,0,Hilton - HDD Replacement and complete imaged setup - HP ProDesk 600 G6 DM,0,5401,
16044300,10-18-2024 10:00 EDT,HANNAFORD - thermal printers installation,Printer,CrossCom,"Morrisville, VT, 05661",$140 ,Paid,VT,Morrisville,,0,10-18-2024 10:00 EDT,US,32,$140 ,,,0,,10-18-2024 10:00 EDT,0,,0,5661,
16044280,10-16-2024 14:00 EDT,HANNAFORD - thermal printers installation,Printer,CrossCom,"Williston, VT, 05495",$140 ,Paid,VT,Williston,,0,10-16-2024 14:00 EDT,US,5,$140 ,,,0,,10-16-2024 14:00 EDT,0,,0,5495,
16008625,10-16-2024 10:00 EDT,HANNAFORD - thermal printers installation,Printer,CrossCom,"Barre, VT, 05641",$210 ,Paid,VT,Barre,,0,10-16-2024 10:00 EDT,US,38,$210 ,,,2,5,10-16-2024 10:00 EDT,0,,0,5641,
16044254,10-15-2024 15:00 EDT,HANNAFORD - thermal printers installation,Printer,CrossCom,"Burlington, VT, 05408",$140 ,Paid,VT,Burlington,,0,10-15-2024 15:00 EDT,US,6,$140 ,,,0,,10-15-2024 15:00 EDT,0,,0,5408,
15941446,10-15-2024 09:00 EDT,TKT: 00056888 - 240927-TR0265,Networking,Gaichu Managed Services,"South Burlington, VT, 05403",$200 ,Paid,VT,South Burlington,,0,10-15-2024 09:00 EDT,US,4,$200 ,,,0,403,10-15-2024 09:00 EDT,0,NSC TICKETS TEMPLATE,0,5403,
16008586,10-11-2024 12:00 EDT,HANNAFORD - thermal printers installation,Printer,CrossCom,"Middlebury, VT, 05753",$140 ,Paid,VT,Middlebury,,0,10-11-2024 12:00 EDT,US,29,$140 ,,,0,,10-11-2024 12:00 EDT,0,,0,5753,
15978570,10-10-2024 10:00 EDT,Printer Install Tech,Printer,Park Place Technologies,"Burlington, VT, 05401",$170 ,Paid,VT,Burlington,,0,10-10-2024 10:00 EDT,US,4,$170 ,,,0,,10-10-2024 10:00 EDT,0,PS Deployment Lexmark Lululemon 2024 Roll-Out,0,5401,
15746028,10-09-2024 09:45 EDT,Petco 3733 - Swap (2) Phones and (1) Zone Controller,Networking,Worldlink Integration Group,3733,$125 ,Paid,VT,Barre,,0,10-09-2024 09:45 EDT,US,35,$125 ,,,1,7,10-09-2024 09:45 EDT,0,Petco - Zoom Project - Swap 2 Phones (Store Only),5,05641-2373,
15746059,10-08-2024 13:00 EDT,Petco 1829 - Swap (2) Phones and (1) Zone Controller,Networking,Worldlink Integration Group,1829,$125 ,Paid,VT,South Burlington,,0,10-08-2024 13:00 EDT,US,3,$125 ,,,2,,10-08-2024 13:00 EDT,0,Petco - Zoom Project - Swap 2 Phones (Store Only),5,05403-5724,
15983349,10-08-2024 09:00 EDT,"Tech #2 of 2: 17 Unit Inventory & Secure Packaging + Network Comms Room Picture Capture + Asset Validation - Must have Phone with Camera, Laptop with Excel | Must bring boxes, Black Marker, empty tape gun, cell phone charger, magnifying glass, and screwdr",General Tasks,Maintech,"MS - Colchester, VT BR413",$120 ,Paid,VT,Colchester,,0,10-08-2024 09:00 EDT,US,9,$90.80 ,,,3,,10-08-2024 09:00 EDT,0,MSWM Shredd Hygiene + Comms Room Validation,0,5446,
15970595,10-04-2024 15:00 EDT,Need tech to replace hard disk drive - DELL POWEREDGE R520,Server/Storage,"Service Express, Inc","South Burlington, VT, 05403",$140 ,Paid,VT,South Burlington,,0,10-04-2024 15:00 EDT,US,3,$140 ,,,2,,10-04-2024 15:00 EDT,0,Barnes & Noble,5,5403,
15924462,10-04-2024 10:00 EDT,Internet Caption Phone (PSTN) Installation and Training,POTS,ClearCaptions Inside Sales,"SOUTH BURLINGTON, VT, 05403",$85 ,Paid,VT,SOUTH BURLINGTON,,0,10-04-2024 10:00 EDT,US,4,$85 ,,,2,146,10-04-2024 10:00 EDT,0,BLUE Installation / Training - (Standard),0,5403,
15963923,10-02-2024 15:30 EDT,POS Break-fix Replacement,Point of Sale,"DataMax Service, Inc",Barnes & Noble - 2776,$55 ,Paid,VT,S. Burlington,,0,10-02-2024 15:30 EDT,US,3,$55 ,,,0,15,10-02-2024 15:30 EDT,0,Barnes & Noble POS,5,5403,
15951511,10-01-2024 08:00 EDT,"Helper Tech Needed - LV Cable Rough-In - T-Mobile Barre, VT - 684G",Low Voltage Runs,Wachter - Nationwide Projects,"Barre, VT, 05641","$1,120 ",Paid,VT,Barre,,0,10-01-2024 08:00 EDT,US,35,$492.10 ,,5,0,6,10-01-2024 08:00 EDT,0,,0,5641,
15913262,09-30-2024 09:00 EDT,GC _ UPS Ugrade 2024,Networking,Spencer Technologies,Guitar Center - 519,$125 ,Paid,VT,Williston,,0,09-30-2024 09:00 EDT,US,5,$125 ,,,1,5,09-30-2024 09:00 EDT,0,GC _ UPS Ugrade 2024,0,5495,
15926753,09-26-2024 11:00 EDT,Survey op rooms 3 and 7 to run new HDMI cables form dental chair to the PC,Networking,Concert Technologies,"Williston, VT, 05495",$195 ,Paid,VT,Williston,,0,09-26-2024 11:00 EDT,US,5,$104 ,,5,0,,09-26-2024 11:00 EDT,0,,5,5495,
15824918,09-07-2024 17:00 EDT,Fujifilm VNX Photo Kiosk Service (Kiosk network is offline) Ethernet or network troubleshooting,Kiosk,"Retail Imaging Management Group, Inc.",Walmart 02224,$85 ,Paid,VT,WILLISTON,,0,09-07-2024 17:00 EDT,US,4,$85 ,,,0,,09-07-2024 17:00 EDT,0,Fuji VNX Kiosk Service Photo Center (Network Troubleshooting),0,5495,
15812475,09-06-2024 09:00 EDT,Survey CPI Install,Point of Sale,"Retail Tech, Inc.","South Burlington, VT, 05403",$150 ,Paid,VT,South Burlington,,0,09-06-2024 09:00 EDT,US,3,$140.50 ,,,0,13,09-06-2024 09:00 EDT,0,Michael's GSA,0,5403,
15799011,09-04-2024 16:00 EDT,Fujifilm CX3240 Printer Service - Paper Jam Troubleshooting and Part Install (if necessary),Printer,"Retail Imaging Management Group, Inc.",WG 19570,$100 ,Paid,VT,BURLINGTON,,0,09-04-2024 16:00 EDT,US,6,$100 ,,5,1,,09-04-2024 16:00 EDT,0,Walgreens Fuji Xerox CX3240 Printer Service - Paper Jam,5,5408,
15724793,08-30-2024 10:00 EDT,Internet Caption Phone (VoIP) Installation and Training,POTS,ClearCaptions Inside Sales,"ESSEX JUNCTION, VT, 05452",$85 ,Paid,VT,ESSEX JUNCTION,,0,08-30-2024 10:00 EDT,US,7,$85 ,,,2,16,08-30-2024 10:00 EDT,0,VoIP Install and Training,0,5452,
15759638,08-27-2024 06:45 EDT,POS Ingenico Pin Pad Conversion,Point of Sale,"Retail Tech, Inc.","South Burlington, VT, 05403",$191.25 ,Paid,VT,South Burlington,,0,08-27-2024 06:45 EDT,US,3,$191.25 ,,,0,,08-27-2024 06:45 EDT,0,POS - Ingenico Pin Pad Upgrade,0,5403,
15664732,08-20-2024 09:45 EDT,FIRM START - LEXMARK (M5255/ XM5365/XC6153) Printer Refresh - Lead Tech,Printer,Essintial,ODFL-BVT-MILTON,$125 ,Paid,VT,MILTON,,0,08-20-2024 09:45 EDT,US,13,$125 ,,,1,,08-20-2024 09:45 EDT,0,TOSHIBA/ODFL/LEXMARK PRINTER REFRESH 2024 -LEAD TECH,0,5468,
15718774,08-20-2024 09:45 EDT,FIRM START - LEXMARK (M5255/ XM5365/XC6153) Printer Refresh - ASSIST Tech,Printer,Essintial,ODFL-BVT-MILTON,$125 ,Paid,VT,MILTON,,0,08-20-2024 09:45 EDT,US,10,$125 ,,,0,,08-20-2024 09:45 EDT,0,TOSHIBA/ODFL/LEXMARK PRINTER REFRESH 2024 - ASSIST TECH,0,5468,
15667463,08-12-2024 07:30 EDT,Dell Warranty Hardware Repair | Est. 1 Hour,Windows Device,Unisys,"South Burlington, VT, 05403","$1,800 ",Paid,VT,South Burlington,,0,08-12-2024 07:30 EDT,US,3,$652.05 ,,,0,,08-12-2024 07:30 EDT,0,Updated Dell NBD,0,5403,
15612466,08-08-2024 10:00 EDT,Victoria's Secret - iPad Upgrade,Point of Sale,IW Technologies,"VSS-02,Victoria's Secret 00630",$75 ,Paid,VT,S Burlington,,0,08-08-2024 10:00 EDT,US,3,$75 ,,,4,,08-08-2024 10:00 EDT,0,Victoria's Secret - Dell AIO to iPad Replacement,5,5403,
15608002,08-05-2024 07:30 EDT,Dell Warranty Hardware Repair | Est. 1 Hour,Windows Device,Unisys,"South Burlington, VT, 05403","$1,800 ",Paid,VT,South Burlington,,0,08-05-2024 07:30 EDT,US,3,"$1,646.10 ",,,0,,08-05-2024 07:30 EDT,0,Updated Dell NBD,0,5403,
15591255,07-29-2024 07:30 EDT,Dell Warranty Hardware Repair | Est. 1 Hour,Windows Device,Unisys,"South Burlington, VT, 05403","$1,800.45 ",Paid,VT,South Burlington,,0,07-29-2024 07:30 EDT,US,3,"$1,800.45 ",,,0,,07-29-2024 07:30 EDT,0,Updated Dell NBD,0,5403,
15585513,07-25-2024 15:00 EDT,Dell Warranty Hardware Repair | Est. 1 Hour,Windows Device,Unisys,"SOUTH BURLINGTON, VT, 05403",$20 ,Paid,VT,SOUTH BURLINGTON,,0,07-25-2024 15:00 EDT,US,3,$20 ,,,0,,07-25-2024 15:00 EDT,0,Updated Dell NBD,0,5403,
15553066,07-22-2024 07:30 EDT,Dell Warranty Hardware Repair | Est. 1 Hour,Windows Device,Unisys,"South Burlington, VT, 05403","$1,800 ",Paid,VT,South Burlington,,0,07-22-2024 07:30 EDT,US,3,"$1,778.85 ",,,0,,07-22-2024 07:30 EDT,0,Updated Dell NBD,0,5403,
15557450,07-21-2024 16:15 EDT,GAP MWS - BSOD - Need H&F to recover workstation,Networking,Spencer Technologies,Banana Republic-08106,$160 ,Paid,VT,Burlington,,0,07-21-2024 16:15 EDT,US,4,$160 ,,,3,4,07-21-2024 16:15 EDT,0,MWS - BSOD - Need H&F to recover workstation,0,5401,
15513814,07-15-2024 07:30 EDT,Dell Warranty Hardware Repair | Est. 1 Hour,Windows Device,Unisys,"South Burlington, VT, 05403","$1,800 ",Paid,VT,South Burlington,,0,07-15-2024 07:30 EDT,US,3,"$1,799.10 ",,,0,,07-15-2024 07:30 EDT,0,Updated Dell NBD,0,5403,
15476231,07-08-2024 07:30 EDT,Dell Warranty Hardware Repair | Est. 1 Hour,Windows Device,Unisys,"South Burlington, VT, 05403","$1,800 ",Paid,VT,South Burlington,,0,07-08-2024 07:30 EDT,US,3,"$1,788.75 ",,5,0,,07-08-2024 07:30 EDT,0,Updated Dell NBD,0,5403,
15436856,07-01-2024 07:30 EDT,Dell Warranty Hardware Repair | Est. 1 Hour,Windows Device,Unisys,"South Burlington, VT, 05403","$1,440 ",Paid,VT,South Burlington,,0,07-01-2024 07:30 EDT,US,3,"$1,437.75 ",,,0,,07-01-2024 07:30 EDT,0,Updated Dell NBD,0,5403,
15436539,06-28-2024 07:30 EDT,Dell Warranty Hardware Repair | Est. 1 Hour,Windows Device,Unisys,"South Burlington, VT, 05403",$360 ,Paid,VT,South Burlington,,0,06-28-2024 07:30 EDT,US,3,$326.25 ,,,0,,06-28-2024 07:30 EDT,0,Updated Dell NBD,0,5403,
15404031,06-24-2024 07:30 EDT,Dell Warranty Hardware Repair | Est. 1 Hour,Windows Device,Unisys,"South Burlington, VT, 05403","$1,800 ",Paid,VT,South Burlington,,0,06-24-2024 07:30 EDT,US,3,"$1,440 ",,,0,,06-24-2024 07:30 EDT,0,Updated Dell NBD,0,5403,
15328612,06-21-2024 09:00 EDT,Additional Office PC installation,Windows Device,"Retail Tech, Inc.","WINOOSKI, VT, 05404",$75 ,Paid,VT,WINOOSKI,,0,06-21-2024 09:00 EDT,US,5,$75 ,,,1,6,06-21-2024 09:00 EDT,0,WAL-2nd Office PC Installation,0,5404,
15339017,06-18-2024 09:00 EDT,On-Site 2FA/MFA Implementation,Windows Device,HOCS Consulting,Birchwood Terrace,$425 ,Paid,VT,Burlington,,0,06-18-2024 09:00 EDT,US,7,$425 ,,,1,,06-18-2024 09:00 EDT,0,On-Site 2FA/MFA Implementation,5,5408,
15254488,05-31-2024 15:00 EDT,Internet Caption Phone (PSTN) Installation and Training,POTS,ClearCaptions Inside Sales,"ESSEX JUNCTION, VT, 05452",$85 ,Paid,VT,ESSEX JUNCTION,,0,05-31-2024 15:00 EDT,US,7,$85 ,,,1,12,05-31-2024 15:00 EDT,0,BLUE Installation / Training - (Standard),0,5452,
15113034,05-20-2024 08:00 EDT,Recycler Preventative Maintenance Cleaning - 2 hr,General Tasks,Kiosk Services Group,"South Burlington, VT, 05403",$120 ,Paid,VT,South Burlington,,0,05-20-2024 08:00 EDT,US,3,$80 ,,,1,24,05-20-2024 08:00 EDT,0,Revolution PM Short,0,5403,
15148038,05-13-2024 14:00 EDT,Internet Caption Phone (VoIP) Installation and Training,POTS,ClearCaptions Inside Sales,"SOUTH BURLINGTON, VT, 05403",$85 ,Paid,VT,SOUTH BURLINGTON,,0,05-13-2024 14:00 EDT,US,4,$85 ,,,1,92,05-13-2024 14:00 EDT,0,VoIP Install and Training,5,5403,
15149337,05-09-2024 14:00 CDT,Install 1 new chiller with store assistance,Merchandising,ShippingSource.com,"Essex Junction, VT, 05452",$50 ,Paid,VT,Essex Junction,,0,05-09-2024 14:00 EDT,US,9,$50 ,,5,1,,05-09-2024 14:00 CDT,0,Install 1 New Chiller with Store Assistance,5,5452,
15138834,05-03-2024 14:07 EDT,Set up one cooler to POG (Already on the floor),Merchandising,ShippingSource.com,"Essex Junction, VT, 05452",$125 ,Paid,VT,Essex Junction,,0,05-03-2024 14:07 EDT,US,9,$125 ,,5,0,12,05-03-2024 14:07 EDT,0,Install 1 New Chiller with Store Assistance,5,5452,
15101829,05-02-2024 10:00 EDT,Recycler Preventative Maintenance Cleaning - 3 hr,General Tasks,Kiosk Services Group,"Plattsburgh, NY, 12901",$207.20 ,Paid,NY,Plattsburgh,,0,05-02-2024 10:00 EDT,US,23,$207.20 ,,5,1,5,05-02-2024 10:00 EDT,0,Revolution PM Long,0,12901,
15099259,04-29-2024 18:00 EDT,POS to Tablet Upgrade,Point of Sale,Connection,"Farmingdale, NY, 11735",$400 ,Paid,NY,Farmingdale,,0,04-29-2024 18:00 EDT,US,254,$264.50 ,,5,0,,04-29-2024 18:00 EDT,0,00 Standard Template - Desktop Technician 2025 Update,0,11735,
15060566,04-22-2024 18:00 EDT,POS to Tablet Upgrade,Point of Sale,Connection,"Succasunna, NJ, 07876",$315 ,Paid,NJ,Succasunna,,0,04-22-2024 18:00 EDT,US,256,$315 ,,,19,,04-22-2024 18:00 EDT,0,00 Standard Template - Desktop Technician 2025 Update,0,7876,
15011682,04-09-2024 10:00 EDT,"Bitlock, evidence collection, disconnect / Internal move - monitor",General Tasks,Maintech,"Morristown, NJ, 07960",$120 ,Paid,NJ,Morristown,,0,04-09-2024 10:00 EDT,US,260,$80 ,,5,5,,04-09-2024 10:00 EDT,0,Maintech Morgan Stanley WM,0,7960,
14940532,03-27-2024 09:00 EDT,Scan/Pack/Prep Secure Equipment for Shipment,Windows Device,"HTG, Inc.","New York, NY, 10019",$975 ,Paid,NY,New York,,0,03-27-2024 09:00 EDT,US,255,$799.50 ,,,25,,03-27-2024 09:00 EDT,0,Scan/Pack/Prep Secure Equipment for Shipment - LOCKBOXES ONLY,0,10019,
14931101,03-21-2024 10:00 EDT,Printer setups,Windows Device,Uni-Data,"Morristown, NJ, 07960",$120 ,Paid,NJ,Morristown,,0,03-21-2024 10:00 EDT,US,259,$70.80 ,,,8,,03-21-2024 10:00 EDT,0,JPMChase Template,5,7960,
14496081,12-18-2023 09:30 EST,"Install QTY. 2 Replacement check-in Workstation Windows PC,  Confirm configuration is correct and can access the network.***Please bring spare ethernet cable in case it is needed",Windows Device,Cormac,"PSI Site,PSI Testing Center 5131 in NJ-Parsippany on New Road",$113.50 ,Paid,NJ,Parsippany,,0,12-18-2023 09:30 EST,US,253,$113.50 ,,,13,39,12-18-2023 09:30 EST,0,"Install check-in Workstation Windows PC,  Confirm configuration is correct and can access the network.***Please bring spare ethernet cable in case it is needed",5,7054,
14227861,10-24-2023 11:00 EDT,Premium Brands- HP Engage POS Register Replace,Windows Device,IW Technologies,"PBS-04 LBR,LANE BRYANT - 4797",$60 ,Paid,NJ,Rockaway,,0,10-24-2023 11:00 EDT,US,252,$60 ,,,2,17,10-24-2023 11:00 EDT,0,Premium Brands- HP Engage POS Register Replace,0,7866,
